code,merchant-type
4814,"Telecommunication service including local and long distance calls, credit card calls, calls through use of magneticstrip reading telephones and fax services"
4815,VisaPhone
4821,Telegraph services
4829,Money Orders - Wire Transfer
4899,Cable and other pay television (previously Cable Services)
4900,"Electric, Gas, Sanitary and Water Utilities"
5013,Motor vehicle supplies and new parts
5021,Office and Commercial Furniture
5039,"Construction Materials, Not Elsewhere Classified"
5044,"Office, Photographic, Photocopy, and Microfilm Equipment"
5045,"Computers, Computer Peripheral Equipment, Software"
5046,"Commercial Equipment, Not Elsewhere Classified"
5047,"Medical, Dental Ophthalmic, Hospital Equipment and Supplies"
5051,Metal Service Centers and Offices
5065,Electrical Parts and Equipment
5072,Hardware Equipment and Supplies
5074,Plumbing and Heating Equipment and Supplies
5085,"Industrial Supplies, Not Elsewhere Classified"
5094,"Precious Stones and Metals, Watches and Jewelry"
5099,"Durable Goods, Not Elsewhere Classified"
5111,"Stationery, Office Supplies, Printing, and Writing Paper"
5122,"Drugs, Drug Proprietors, and Druggist’s Sundries"
5131,"Piece Goods, Notions, and Other Dry Goods"
5137,Men’s Women’s and Children’s Uniforms and Commercial Clothing
5139,Commercial Footwear
5169,"Chemicals and Allied Products, Not Elsewhere Classified"
5172,Petroleum and Petroleum Products
5192,"Books, Periodicals, and Newspapers"
5193,"Florists’ Supplies, Nursery Stock and Flowers"
5198,"Paints, Varnishes, and Supplies"
5199,"Non-durable Goods, Not Elsewhere Classified"
5200,Home Supply Warehouse Stores
5211,Lumber and Building Materials Stores
5231,Glass Stores
5231,Paint and Wallpaper Stores
5231,Wallpaper Stores
5251,Hardware Stores
5261,Nurseries – Lawn and Garden Supply Store
5271,Mobile Home Dealers
5300,Wholesale Clubs
5309,Duty Free Store
5310,Discount Stores
5311,Department Stores
5331,Variety Stores
5399,Misc. General Merchandise
5411,Grocery Stores
5411,Supermarkets
5422,Freezer and Locker Meat Provisioners
5422,Meat Provisioners – Freezer and Locker
5441,Candy Stores
5441,Confectionery Stores
5441,Nut Stores
5451,Dairy Products Stores
5462,Bakeries
5499,Misc. Food Stores – Convenience Stores and Specialty Markets
5511,"Car and Truck Dealers (New and Used) Sales, Service, Repairs, Parts, and Leasing"
5521,Automobile and Truck Dealers (Used Only)
5531,Automobile Supply Stores
5532,Automotive Tire Stores
5533,"Automotive Parts, Accessories Stores"
5541,Service Stations ( with or without ancillary services)
5542,Automated Fuel Dispensers
5551,Boat Dealers
5561,"Recreational and Utility Trailers, Camp Dealers"
5571,Motorcycle Dealers
5592,Motor Home Dealers
5598,Snowmobile Dealers
5611,Men’s and Boy’s Clothing and Accessories Stores
